-41,0.026746
-40,0.025956
-39,0.026404
-38,0.024971
-37,0.020493
-36,0.019112
-35,0.01547
-34,0.014249
-33,0.012739
-32,0.011347
-31,0.012065
-30,0.01337
-29,0.015206
-28,0.015405
-27,0.01372
-26,0.011409
-25,0.0089981
-24,0.0051359
-23,-0.0024995
-22,-0.013117
-21,-0.021053
-20,-0.020685
-19,-0.018306
-18,-0.015886
-17,-0.013468
-16,-0.011026
-15,-0.0085489
-14,-0.0060545
-13,-0.0038978
-12,-0.0022275
-11,-0.00091315
-10,3.382e-05
-9,0.00065899
-8,0.0010147
-7,0.0014308
-6,0.0022492
-5,0.0035609
-4,0.0053803
-3,0.0072219
-2,0.009202
-1,0.010013
-0,0.011848
1,-0.010013
2,-0.009202
3,-0.0072219
4,-0.0053803
5,-0.0035609
6,-0.0022492
7,-0.0014308
8,-0.0010147
9,-0.00065899
10,-3.382e-05
11,0.00091315
12,0.0022275
13,0.0038978
14,0.0060545
15,0.0085489
16,0.011026
17,0.013468
18,0.015886
19,0.018306
20,0.020685
21,0.021053
22,0.013117
23,0.0024995
24,-0.0051359
25,-0.0089981
26,-0.011409
27,-0.01372
28,-0.015405
29,-0.015206
30,-0.01337
31,-0.012065
32,-0.011347
33,-0.012739
34,-0.014249
35,-0.01547
36,-0.019112
37,-0.020493
38,-0.024971
39,-0.026404
40,-0.025956
41,-0.026746
